id,source,path,label,media_type,fps,frames,width,height,signer,session,split
kag_2428b5a77e9951201e47793d09f900a4,kaggle,/Users/david/Library/CloudStorage/OneDrive-Personal/Documents/CPP/Courses/Fall 2025/CS 4620/asl_model/data/kaggle_asl_combined/A/2428b5a77e9951201e47793d09f900a4.jpg,a,image,0.0,1,,,,,train
kag_6e80348678bb4cf80949511d72322d07,kaggle,/Users/david/Library/CloudStorage/OneDrive-Personal/Documents/CPP/Courses/Fall 2025/CS 4620/asl_model/data/kaggle_asl_combined/A/6e80348678bb4cf80949511d72322d07.jpg,a,image,0.0,1,,,,,test
kag_8b8c004105f862e8e15247686ede135e,kaggle,/Users/david/Library/CloudStorage/OneDrive-Personal/Documents/CPP/Courses/Fall 2025/CS 4620/asl_model/data/kaggle_asl_combined/A/8b8c004105f862e8e15247686ede135e.jpg,a,image,0.0,1,,,,,test
kag_fa23b4bfc4d11c19f6edff3d809b4833,kaggle,/Users/david/Library/CloudStorage/OneDrive-Personal/Documents/CPP/Courses/Fall 2025/CS 4620/asl_model/data/kaggle_asl_combined/A/fa23b4bfc4d11c19f6edff3d809b4833.jpeg,a,image,0.0,1,,,,,test
kag_1897537704c1850b732c9902c7385a00,kaggle,/Users/david/Library/CloudStorage/OneDrive-Personal/Documents/CPP/Courses/Fall 2025/CS 4620/asl_model/data/kaggle_asl_combined/A/1897537704c1850b732c9902c7385a00.jpg,a,image,0.0,1,,,,,train
kag_b0d4f37a74ce63cf89387b0122fb9d45,kaggle,/Users/david/Library/CloudStorage/OneDrive-Personal/Documents/CPP/Courses/Fall 2025/CS 4620/asl_model/data/kaggle_asl_combined/A/b0d4f37a74ce63cf89387b0122fb9d45.jpg,a,image,0.0,1,,,,,train
kag_7c1ee600eef250ef8b80623b7c0a1a48,kaggle,/Users/david/Library/CloudStorage/OneDrive-Personal/Documents/CPP/Courses/Fall 2025/CS 4620/asl_model/data/kaggle_asl_combined/A/7c1ee600eef250ef8b80623b7c0a1a48.jpg,a,image,0.0,1,,,,,train
kag_bbb2e081f4ef8ed3225f9ef222fddd26,kaggle,/Users/david/Library/CloudStorage/OneDrive-Personal/Documents/CPP/Courses/Fall 2025/CS 4620/asl_model/data/kaggle_asl_combined/A/bbb2e081f4ef8ed3225f9ef222fddd26.jpg,a,image,0.0,1,,,,,test
kag_515fe337d31a998b1360ac36b4c77c51,kaggle,/Users/david/Library/CloudStorage/OneDrive-Personal/Documents/CPP/Courses/Fall 2025/CS 4620/asl_model/data/kaggle_asl_combined/A/515fe337d31a998b1360ac36b4c77c51.jpg,a,image,0.0,1,,,,,train
kag_1749dbb32bd8b6c0f30f4490f55d8693,kaggle,/Users/david/Library/CloudStorage/OneDrive-Personal/Documents/CPP/Courses/Fall 2025/CS 4620/asl_model/data/kaggle_asl_combined/A/1749dbb32bd8b6c0f30f4490f55d8693.jpg,a,image,0.0,1,,,,,train
kag_b9936d5a99002f7a4d16328168e8aeba,kaggle,/Users/david/Library/CloudStorage/OneDrive-Personal/Documents/CPP/Courses/Fall 2025/CS 4620/asl_model/data/kaggle_asl_combined/A/b9936d5a99002f7a4d16328168e8aeba.jpg,a,image,0.0,1,,,,,train
kag_e142e834cc14c424583bcd7130ca6ce5,kaggle,/Users/david/Library/CloudStorage/OneDrive-Personal/Documents/CPP/Courses/Fall 2025/CS 4620/asl_model/data/kaggle_asl_combined/A/e142e834cc14c424583bcd7130ca6ce5.jpg,a,image,0.0,1,,,,,val
kag_075c6cffa28937e15ed640348ab3214c,kaggle,/Users/david/Library/CloudStorage/OneDrive-Personal/Documents/CPP/Courses/Fall 2025/CS 4620/asl_model/data/kaggle_asl_combined/A/075c6cffa28937e15ed640348ab3214c.jpg,a,image,0.0,1,,,,,train
kag_77ba6dac43dd231929cbc7a414cff5a8,kaggle,/Users/david/Library/CloudStorage/OneDrive-Personal/Documents/CPP/Courses/Fall 2025/CS 4620/asl_model/data/kaggle_asl_combined/A/77ba6dac43dd231929cbc7a414cff5a8.jpg,a,image,0.0,1,,,,,test
kag_9116c7eb7af723e7f78738d1fd404b2a,kaggle,/Users/david/Library/CloudStorage/OneDrive-Personal/Documents/CPP/Courses/Fall 2025/CS 4620/asl_model/data/kaggle_asl_combined/A/9116c7eb7af723e7f78738d1fd404b2a.jpg,a,image,0.0,1,,,,,train
kag_f2ceb9bf188baf5526490e1f6e4432ef,kaggle,/Users/david/Library/CloudStorage/OneDrive-Personal/Documents/CPP/Courses/Fall 2025/CS 4620/asl_model/data/kaggle_asl_combined/A/f2ceb9bf188baf5526490e1f6e4432ef.jpg,a,image,0.0,1,,,,,train
kag_4bfbcba503a1d3c09132314ca95944f0,kaggle,/Users/david/Library/CloudStorage/OneDrive-Personal/Documents/CPP/Courses/Fall 2025/CS 4620/asl_model/data/kaggle_asl_combined/A/4bfbcba503a1d3c09132314ca95944f0.jpg,a,image,0.0,1,,,,,train
kag_efc0c3747863c4c3f7941be20b9c3a31,kaggle,/Users/david/Library/CloudStorage/OneDrive-Personal/Documents/CPP/Courses/Fall 2025/CS 4620/asl_model/data/kaggle_asl_combined/A/efc0c3747863c4c3f7941be20b9c3a31.jpg,a,image,0.0,1,,,,,test
kag_fb5ea17a6ce262f7e3ed9fa3081b0d1e,kaggle,/Users/david/Library/CloudStorage/OneDrive-Personal/Documents/CPP/Courses/Fall 2025/CS 4620/asl_model/data/kaggle_asl_combined/A/fb5ea17a6ce262f7e3ed9fa3081b0d1e.jpg,a,image,0.0,1,,,,,train
kag_1c4935c7a0db939c6e192f038e7555be,kaggle,/Users/david/Library/CloudStorage/OneDrive-Personal/Documents/CPP/Courses/Fall 2025/CS 4620/asl_model/data/kaggle_asl_combined/A/1c4935c7a0db939c6e192f038e7555be.jpg,a,image,0.0,1,,,,,train
